Пункт;Индекс
00074;432010
00110;433930
00111;433004
00112;432063
00113;433011
00114;433903
00493;432066
00702;433500
00705;432051
01291;432099
01292;433639
01293;433849
02218;433059
02219;433179
02220;433239
02221;433399
02222;433439
02223;433759
02224;433799
02225;433899
02841;432046
02842;432045
02843;432035
02844;432034
02845;432030
02846;432001
02847;432000
07028;432007
07029;432008
07030;432012
07031;432017
07032;432027
07033;432029
07034;432031
07035;432044
07036;432048
07037;432054
07038;432057
07039;432059
07040;432061
07041;432064
07043;432073
08389;433777
08390;432005
08391;432011
08392;432028
08393;432032
08394;432042
08398;433775
09393;432006
09394;432018
09395;432022
09396;432023
09397;432025
09398;432043
09399;432047
09400;432067
09402;433240
09403;433300
09404;433310
09405;433460
09406;433503
09407;433505
09408;433506
09409;433508
09410;433513
09411;433610
09424;433255
10167;433522
10168;433740
10171;432026
10173;433563
10176;433861
10177;433895
10180;433529
10181;433534
10182;433328
10185;432099
10186;432053
10188;433718
10189;433465
10190;433410
10191;433842
10194;432068
10195;432072
10196;433430
10197;433030
10198;433100
10199;433130
10200;433210
10202;433360
10203;433380
10204;433504
10205;433507
10206;433511
10207;433512
10208;433600
10209;433700
10210;433750
10211;433760
10212;433810
10213;433870
10214;433940
10215;433970
11382;433244
11383;433541
11384;432036
11385;433321
12246;432013
12247;432049
12248;432055
12249;432069
12250;433320
12251;433324
12900;433400
12901;433428
12902;433431
